V_programado_V,V_medido_V,I_medida_A
0.0,0.0,-9.929427e-12
0.25,0.25,-9.309091e-12
0.5,0.5,-7.835789e-12
0.75,0.75,-8.30104e-12
1.0,1.0,-8.37858e-12
1.25,1.25,-7.913326e-12
1.5,1.5,-4.423944e-12
1.75,1.75,-6.750197e-12
2.0,2.0,-4.889192e-12
2.25,2.25,-6.28495e-12
2.5,2.5,-6.750202e-12
2.75,2.75,-7.06037e-12
3.0,3.0,-6.129865e-12
3.25,3.25,-6.517575e-12
3.5,3.5,-6.982828e-12
3.75,3.75,-5.431986e-12
4.0,4.0,-7.137912e-12
4.25,4.25,-7.525622e-12
4.5,4.5,-6.672658e-12
4.75,4.75,-4.734108e-12
5.0,5.0,-6.284948e-12
